,TSLA
190,0.017250616797375606
191,0.006630462721630259
192,0.008886753128321878
193,0.02974911221007215
194,0.031617044293491325
195,-0.0067343810179743
196,0.001768678324092221
197,0.0320518542647692
198,0.01738710609153049
199,0.11921840131986894
200,-0.006293784993978591
201,0.01889866816525032
202,0.03705568718317753
203,0.03374056754786725
204,0.08149722108929236
205,-0.03074267143956444
206,0.035093661512769714
207,0.013135671098316593
208,-0.006378543942237691
209,-0.04961124871581646
210,-0.1277231049886458
211,0.042512751122110615
212,-0.0041661095300185025
213,-0.028701034913384937
214,-0.019572572103898622
215,0.039983630791446956
216,0.03198424412708878
217,0.006744812603446171
218,0.036432187139559424
219,0.017272042771904417
220,-0.04223229231079273
221,0.006265078142450697
222,-0.031013582803841366
223,0.049647129910669996
224,0.006810605513459578
225,-0.044440653310942935
226,-0.009543130353379503
227,-0.06635220637315697
228,-0.005889364738369984
229,0.04148578168493522
230,0.016230733164008804
231,-0.06289339057462584
232,0.013093857884850735
233,-0.05105377592462901
234,-0.008208141432439753
235,0.018072324865302747
236,-0.05158508694065489
237,0.006076980066068494
238,-0.03561612643033385
239,0.04198675548622788
240,0.07227131414260324
241,0.05602008452474472
242,0.024934832007080132
243,-0.005012790793260891
244,-0.002096907309160123
245,-0.014699783148667933
246,-0.012749746362709757
247,0.12691165435865237
248,-0.04273290373657446
249,-0.054953895352911175
250,-0.021758408504565452
251,-0.03609007971998768
252,0.029890800182341692
253,0.004902294412732822
