,Adj Close,Adj Close,Close,Close,High,High,Low,Low,Open,Open,Volume,Volume
,AAPL,MSFT,AAPL,MSFT,AAPL,MSFT,AAPL,MSFT,AAPL,MSFT,AAPL,MSFT
Date,,,,,,,,,,,,
2022-07-01,138.50750732421875,258.3022155761719,138.92999267578125,259.5799865722656,139.0399932861328,259.7699890136719,135.66000366210938,254.61000061035156,136.0399932861328,256.3900146484375,71051600,22837700
2022-07-05,141.12953186035156,261.55615234375,141.55999755859375,262.8500061035156,141.61000061035156,262.9800109863281,136.92999267578125,254.74000549316406,137.77000427246094,256.1600036621094,73353800,22941000
2022-07-06,142.48538208007812,264.89959716796875,142.9199981689453,266.2099914550781,144.1199951171875,267.989990234375,141.0800018310547,262.3999938964844,141.35000610351562,263.75,74064300,23824400
2022-07-07,145.90496826171875,267.0788269042969,146.35000610351562,268.3999938964844,146.5500030517578,269.05999755859375,143.27999877929688,265.0199890136719,143.2899932861328,265.1199951171875,66253700,20859900
2022-07-08,146.5928497314453,266.34246826171875,147.0399932861328,267.6600036621094,147.5500030517578,268.1000061035156,145.0,263.2900085449219,145.25999450683594,264.7900085449219,64547800,19658800
2022-07-11,144.42945861816406,263.2079772949219,144.8699951171875,264.510009765625,146.63999938964844,266.5299987792969,143.77999877929688,262.17999267578125,145.6699981689453,265.6499938964844,63141600,19455200
2022-07-12,145.41644287109375,252.42132568359375,145.86000061035156,253.6699981689453,148.4499969482422,265.94000244140625,145.0500030517578,252.0399932861328,145.75999450683594,265.8800048828125,77588800,35868500
2022-07-13,145.04757690429688,251.47601318359375,145.49000549316406,252.72000122070312,146.4499969482422,253.5500030517578,142.1199951171875,248.11000061035156,142.99000549316406,250.19000244140625,71185600,29497400
2022-07-14,148.01852416992188,252.82933044433594,148.47000122070312,254.0800018310547,148.9499969482422,255.13999938964844,143.25,245.94000244140625,144.0800018310547,250.57000732421875,78140700,25102800
2022-07-15,149.7133331298828,255.45631408691406,150.1699981689453,256.7200012207031,150.86000061035156,260.3699951171875,148.1999969482422,254.77000427246094,149.77999877929688,255.72000122070312,76259900,29774100
2022-07-18,146.62278747558594,252.99847412109375,147.07000732421875,254.25,151.57000732421875,260.8399963378906,146.6999969482422,253.3000030517578,150.74000549316406,259.75,81420900,20975000
2022-07-19,150.5408172607422,258.25250244140625,151.0,259.5299987792969,151.22999572753906,259.7200012207031,146.91000366210938,253.67999267578125,147.9199981689453,257.5799865722656,82982400,25012600
2022-07-20,152.57461547851562,260.97900390625,153.0399932861328,262.2699890136719,153.72000122070312,264.8699951171875,150.3699951171875,258.9100036621094,151.1199951171875,259.8999938964844,64823400,22788300
2022-07-21,154.87759399414062,263.5363464355469,155.35000610351562,264.8399963378906,155.57000732421875,264.8900146484375,151.94000244140625,257.0299987792969,154.5,259.7900085449219,65086600,22404700
2022-07-22,153.6214141845703,259.0783996582031,154.08999633789062,260.3599853515625,156.27999877929688,265.3299865722656,153.41000366210938,259.07000732421875,155.38999938964844,265.239990234375,66675400,21881300
2022-07-25,152.48489379882812,257.555908203125,152.9499969482422,258.8299865722656,155.0399932861328,261.5,152.27999877929688,256.80999755859375,154.00999450683594,261.0,53623900,21056000
2022-07-26,151.1389923095703,250.6600341796875,151.60000610351562,251.89999389648438,153.08999633789062,259.8800048828125,150.8000030517578,249.57000732421875,152.25999450683594,259.8599853515625,55138700,39348000
2022-07-27,156.31320190429688,267.4171447753906,156.7899932861328,268.739990234375,157.3300018310547,270.04998779296875,152.16000366210938,258.8500061035156,152.5800018310547,261.1600036621094,78620700,45994000
2022-07-28,156.87152099609375,275.0494079589844,157.35000610351562,276.4100036621094,157.63999938964844,277.8399963378906,154.41000366210938,267.8699951171875,156.97999572753906,269.75,81378700,33459300
2022-07-29,162.01580810546875,279.35809326171875,162.50999450683594,280.739990234375,163.6300048828125,282.0,159.5,276.6300048828125,161.24000549316406,277.70001220703125,101786900,32152800
2022-08-01,161.0188446044922,276.64154052734375,161.50999450683594,278.010009765625,163.58999633789062,281.2799987792969,160.88999938964844,275.8399963378906,161.00999450683594,277.82000732421875,67829400,21539600
2022-08-02,159.52340698242188,273.46722412109375,160.00999450683594,274.82000732421875,162.41000366210938,277.8900146484375,159.6300048828125,272.3800048828125,160.10000610351562,276.0,59907000,22754200
2022-08-03,165.62481689453125,281.0795593261719,166.1300048828125,282.4700012207031,166.58999633789062,283.5,160.75,276.6099853515625,160.83999633789062,276.760009765625,82507500,23518900
2022-08-04,165.3057861328125,282.2537536621094,165.80999755859375,283.6499938964844,167.19000244140625,283.79998779296875,164.42999267578125,280.1700134277344,166.00999450683594,281.79998779296875,55474100,18098700
2022-08-05,165.076171875,281.51739501953125,165.35000610351562,282.9100036621094,165.85000610351562,283.6499938964844,163.0,278.67999267578125,163.2100067138672,279.1499938964844,56697000,16774600
2022-08-08,164.59695434570312,278.9401550292969,164.8699951171875,280.32000732421875,167.80999755859375,285.9200134277344,164.1999969482422,279.32000732421875,166.3699951171875,284.04998779296875,60276900,18739200
2022-08-09,164.64686584472656,280.910400390625,164.9199981689453,282.29998779296875,165.82000732421875,283.0799865722656,163.25,277.6099853515625,164.02000427246094,279.6400146484375,63135500,23405200
2022-08-10,168.95973205566406,287.73663330078125,169.24000549316406,289.1600036621094,169.33999633789062,289.80999755859375,166.89999389648438,286.94000244140625,167.67999267578125,288.1700134277344,70170500,24687800
2022-08-11,168.21096801757812,285.6071472167969,168.49000549316406,287.0199890136719,170.99000549316406,291.2099914550781,168.19000244140625,286.510009765625,170.05999755859375,290.8500061035156,57149200,20065900
2022-08-12,171.8149871826172,290.4731140136719,172.10000610351562,291.9100036621094,172.1699981689453,291.9100036621094,169.39999389648438,286.94000244140625,169.82000732421875,288.4800109863281,68039400,22619700
2022-08-15,172.90318298339844,292.02545166015625,173.19000244140625,293.4700012207031,173.38999938964844,294.17999267578125,171.35000610351562,290.1099853515625,171.52000427246094,291.0,54091700,18085700
2022-08-16,172.74343872070312,291.2691650390625,173.02999877929688,292.7099914550781,173.7100067138672,294.0400085449219,171.66000366210938,290.4200134277344,172.77999877929688,291.989990234375,56377100,18102900
2022-08-17,174.26092529296875,290.5013427734375,174.5500030517578,291.32000732421875,176.14999389648438,293.3500061035156,172.57000732421875,289.4700012207031,172.77000427246094,289.739990234375,79542000,18253400
